condition_code,run,seed,scientific_status,final_generation,final_population_size,latest_checkpoint,latest_checkpoint_generation,provenance_file,git_commit
HHHHLHL-Z,2,11760414040803526538,host_extinction,4,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-Z/provenance-002-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLHL-Z,3,1892882073282890957,host_extinction,4,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-Z/provenance-003-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLLH-HH,1,1825367890063721210,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-HH,2,10291440574166092284,maximum_generations,1500,287,state-002-001-0001500.gz,1500,TE-Interaction-Experiments/HHHHLLH-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-HH,3,10541731195243326551,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-HL,1,6969365009564242064,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-HL,2,16409358029259842544,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-HL,3,7526138761010551808,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-LH,1,5256204754291870769,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-LH,2,9945710548139866585,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-LH,3,5050729828272426263,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-LL,1,9315681069455335615,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-LL,2,4630162997391336980,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-LL,3,1272026123467555928,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLH-Z,1,12560573396593507318,te_extinction,5,7,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-Z/provenance-001-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLLH-Z,2,16559493265125655820,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-Z/provenance-002-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLLH-Z,3,7486198635583216926,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLH-Z/provenance-003-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLLL-HH,1,9555277913374342121,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-HH,2,13515468598323801831,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-HH,3,8624440187918562866,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-HL,1,14905238951378061589,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-HL,2,1061349140884537597,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-HL,3,5203017252211669594,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-LH,1,12350992445447047670,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-LH,2,15602933078543318380,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-LH,3,7104018235911323869,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-LL,1,15264769710404788928,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-LL,2,12324829522912578528,host_extinction,4,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-LL,3,5709968735237148279,host_extinction,4,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLLL-Z,1,8582212012794690660,host_extinction,4,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLLL-Z/provenance-001-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
